repository,source_sha,path,requested_scope,coverage_limit,focus,connector_response_ids,source_url
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,Cargo.toml,full,full returned,workspace members and dependency baseline,148,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/Cargo.toml
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,.github/workflows/ci.yml,full,full returned,debug build/test jobs and toolchain,149,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/.github/workflows/ci.yml
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,.github/workflows/package.yml,full,full returned,release build/smoke scope; package invocation,201,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/.github/workflows/package.yml
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-workspace/src/confined.rs,1-350;351-710;711-1080;1081-1450,full returned through EOF across ranges,"Unix open flags, Windows raw handle ownership, recovery-safe helpers",151;152;153;154,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-workspace/src/confined.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-workspace/src/runtime_facts.rs,full,full returned,project marker callers and synchronous file opens,156,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-workspace/src/runtime_facts.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-storage/src/lib.rs,1-390;391-790;791-1185;1186-1615;1530-1860;65-209;210-535;535-647,full returned through EOF across overlapping ranges,authority open/compaction/publication/error fencing; checkpoints; tests,158;159;160;161;162;195;196;197,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-storage/src/lib.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/provider-openai/src/sse.rs,1-345;346-760,partial; latter response truncated; later tests not fully read,Chat terminal reasons and SSE event routing/framer,164;165,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/provider-openai/src/sse.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/provider-openai/src/lib.rs,1-340;341-695,partial,HTTP error body handling and streamed finalization branches,167;168,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/provider-openai/src/lib.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/provider-openai/src/responses.rs,1-340,partial,Responses output-limit classification and terminal event handling,176,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/provider-openai/src/responses.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-process/src/supervisor.rs,full,full returned,kill/reap ownership and timeout outcomes,170,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-process/src/supervisor.rs
